Start-Airport-ID,End-Airport-ID,Distance
1638,1735,3197.6013700382587
1524,1735,1554.9684319162006
1657,1735,342.6303455988091
2974,1735,3223.323682714749
548,1735,2132.793171848614
1551,1735,1282.9103638401907
1550,1735,1396.8200355051645
2895,2851,391.3032045462437
2895,2848,285.4854037340476
2821,2851,257.70419173718085
2821,3576,2396.224226635759
2821,2850,119.43024011267275
2821,1871,1615.0654248546807
2821,2856,292.76344338210595
2821,2868,354.59941829262357
2822,2851,417.1915902489756
2851,2895,391.3032045462437
2851,2821,257.70419173718085
2851,2822,417.1915902489756
2851,2897,277.78356950672736
2851,2848,517.8236249362762
2851,2849,509.4646027591979
2851,2856,530.5646544393028
2851,2870,417.8243093718432
2897,2851,277.78356950672736
2848,2895,285.4854037340476
2848,2851,517.8236249362762
2848,2868,418.072415042206
3576,2821,2396.224226635759
2849,2851,509.4646027591979
2850,2821,119.43024011267275
2850,2851,332.12818624082865
1871,2821,1615.0654248546807
2856,2821,292.76344338210595
2856,2851,530.5646544393028
2868,2821,354.59941829262357
2868,2848,418.072415042206
2870,2851,417.8243093718432
3039,3043,446.2432222194501
3039,6173,272.60990956612335
2994,2179,1835.1687962499293
2994,2997,444.1601230984433
2994,3093,756.5199719142103
3081,3093,413.868826805034
2179,2994,1835.1687962499293
2179,3131,2723.1031722671523
2179,2997,1970.8835871464373
2179,3137,2690.451806716477
2179,3136,2795.136724043974
2179,3093,2277.3851885238923
2179,2064,537.3391861007134
2179,2176,850.401525965455
2179,3144,2965.9437184264566
2179,3153,2955.215819916908
2057,2997,2412.726774739835
3001,2997,363.0239139880337
2999,2997,572.5824736438443
3002,2997,657.6914732030857
3002,3093,587.4648217663182
3003,2997,304.5900690619845
3885,2997,3030.5837101258458
3885,3093,2948.465934515265
3131,2179,2723.1031722671523
3131,2997,834.1626560161055
3131,3043,1546.8398946011118
3131,3135,251.6007821878384
3131,3136,367.26066739303724
3131,3093,1710.0490222625483
3131,3007,482.9349060188483
3131,3008,1077.9563381958171
3131,3143,306.1537631615784
3131,3304,2883.6150838961103
3131,3144,267.75063708772876
3131,3017,722.6867080616062
3131,3153,531.34960763269
3131,3066,776.1978384436837
2997,2994,444.1601230984433
2997,2179,1970.8835871464373
2997,2057,2412.726774739835
2997,3001,363.0239139880337
2997,2999,572.5824736438443
2997,3002,657.6914732030857
2997,3003,304.5900690619845
2997,3885,3030.5837101258458
2997,3131,834.1626560161055
2997,302,6866.058468671784
2997,3137,944.1705522421906
2997,3043,1665.4900710722998
2997,3135,1001.7879421578439
2997,3024,1525.7845631149794
2997,3136,1063.8121181754059
2997,3076,1887.847596724608
2997,3093,1138.2300778632523
2997,5711,272.1259413280755
2997,2064,2498.909705070824
2997,2188,1926.1622120257405
2997,3007,424.8020548579013
2997,3077,4271.902212150282
2997,3008,505.95321844078535
2997,3089,1347.1843542076015
2997,3143,714.7521790279806
2997,2996,278.8566096097025
2997,3098,911.3284733460117
2997,3097,796.6387436087495
2997,2072,3518.8442575200247
2997,813,6963.998618341466
2997,3125,1592.3078768827365
2997,3304,3624.3709096937864
2997,2176,2758.334040198557
2997,507,7213.041153604433
2997,3105,1183.5833176033411
2997,3144,1033.4048097267857
2997,2194,1590.2509216422502
2997,3015,682.5927828012447
2997,4059,4532.996720698083
